missing,truss2,truss4,truss6,truss8,truss10
5,0.9136400322841001,0.8555637435519529,0.8411437648927721,0.9094650205761317,0.8506224066390041
10,0.8159806295399515,0.7361827560795873,0.6965845909451946,0.7544581618655692,0.7648686030428768
15,0.758272800645682,0.6109064112011791,0.5393169181890389,0.654320987654321,0.6542185338865837
20,0.6339790153349475,0.5386882829771555,0.5194598888006354,0.6090534979423868,0.6016597510373444
25,0.5605326876513317,0.49078850405305824,0.43050039714058774,0.5720164609053497,0.49654218533886585
30,0.4943502824858757,0.39572586588061903,0.3733121525019857,0.522633744855967,0.5172890733056709
35,0.4261501210653753,0.367722918201916,0.30023828435266087,0.4828532235939643,0.45228215767634855
40,0.35108958837772397,0.29918938835666914,0.28594122319301035,0.4279835390946502,0.4024896265560166
45,0.2820823244552058,0.2675018422991894,0.2779984114376489,0.35802469135802467,0.3706777316735823
50,0.22760290556900725,0.24023581429624172,0.24702144559173947,0.33607681755829905,0.2987551867219917
0,1.0,1.0,1.0,1.0,1.0
5,0.9168684422921711,0.8518791451731761,0.8419380460683081,0.8888888888888888,0.8796680497925311
10,0.8151735270379338,0.7428150331613854,0.687053216838761,0.7722908093278463,0.7247579529737206
15,0.7239709443099274,0.6521739130434783,0.5726767275615567,0.6735253772290809,0.6680497925311203
20,0.6614205004035513,0.5504789977892409,0.48451151707704526,0.6186556927297668,0.5587828492392808
25,0.5714285714285714,0.4657332350773766,0.4312946783161239,0.5528120713305898,0.5255878284923928
30,0.48184019370460046,0.38909358879882094,0.3733121525019857,0.5267489711934157,0.49239280774550487
35,0.407183212267958,0.31908621960206335,0.3613979348689436,0.47462277091906724,0.4135546334716459
40,0.32606941081517354,0.3235077376565954,0.3050039714058777,0.43621399176954734,0.38589211618257263
45,0.26432606941081516,0.27560795873249816,0.26608419380460685,0.39231824417009603,0.3789764868603043
50,0.22760290556900725,0.2380250552689757,0.2414614773629865,0.31824417009602196,0.3360995850622407
