missing,corr,pvalue
2,0.99120134533377391,0.0
4,0.98408598597996744,0.0
6,0.98118689443288987,0.0
8,0.97661229860640975,0.0
10,0.97359979304542565,0.0
12,0.97070882047098317,0.0
14,0.96107594737072999,0.0
16,0.9592540990397328,0.0
18,0.95209178593411747,0.0
20,0.95230910863413776,0.0
22,0.95073578124970926,0.0
24,0.94710725157696285,0.0
26,0.94015877211289245,0.0
28,0.93620884230169166,0.0
30,0.93969686067038682,0.0
32,0.93919504533412257,0.0
34,0.92966307888284139,0.0
36,0.92621545805770789,0.0
38,0.92271721208165591,0.0
40,0.91958594066268418,0.0
42,0.91581962756621094,0.0
44,0.91195086080234189,0.0
46,0.90836964953030097,0.0
48,0.89350394889193963,0.0
0,1.0,0.0
2,0.99102903950524968,0.0
4,0.98537633895659571,0.0
6,0.98154128639257032,0.0
8,0.97803800406297015,0.0
10,0.97476149116084732,0.0
12,0.96244732440230207,0.0
14,0.95722315511457223,0.0
16,0.95305352665097276,0.0
18,0.94981462010174678,0.0
20,0.95047985880728247,0.0
22,0.9483267121330955,0.0
24,0.93942581487029597,0.0
26,0.93870838738070572,0.0
28,0.93135982341803059,0.0
30,0.93399237650949818,0.0
32,0.93322182923630881,0.0
34,0.92473762231303691,0.0
36,0.92478993553392874,0.0
38,0.91832655077976444,0.0
40,0.91199454357992293,0.0
42,0.90744811373606971,0.0
44,0.90630884671997269,0.0
46,0.89746755561196934,0.0
48,0.8971174148971468,0.0
