missing,correlation,pvalue
16,0.89338924244147655,0.0
18,0.88430711493715253,0.0
20,0.87694802145714379,0.0
22,0.8676410181735511,0.0
24,0.85887013221619224,0.0
26,0.85035600357255448,0.0
28,0.84213741050770563,0.0
30,0.83438287245671716,0.0
32,0.82565016019844961,0.0
34,0.81686052954309096,0.0
36,0.8076642493382914,0.0
38,0.80028671394205664,0.0
40,0.79109558913136035,0.0
42,0.78230311268095087,0.0
44,0.77267696840736777,0.0
46,0.76327711601988268,0.0
48,0.75527292524604694,0.0
0,1.0,0.0
2,0.97708364062210673,0.0
4,0.96057804521004042,0.0
6,0.9466320182853295,0.0
8,0.93350492945805819,0.0
10,0.92214890852622333,0.0
12,0.91173403833911704,0.0
14,0.90148683856091105,0.0
16,0.89358636784046885,0.0
18,0.88364574278931896,0.0
20,0.8749575979898625,0.0
22,0.86583558187990195,0.0
24,0.85777232355107169,0.0
26,0.85000743506566523,0.0
28,0.84126170230400166,0.0
30,0.83297899501024719,0.0
32,0.82427830158218829,0.0
34,0.81532247404599234,0.0
36,0.80663854552416714,0.0
38,0.79806691273965047,0.0
40,0.78862368425009943,0.0
42,0.78041610215648849,0.0
44,0.77182417445690388,0.0
46,0.76286845770037259,0.0
48,0.75344634566816981,0.0
0,1.0,0.0
2,0.97735255354376327,0.0
4,0.96054675170266912,0.0
6,0.94598985163762295,0.0
8,0.93394211318061504,0.0
10,0.92217251918075294,0.0
12,0.91246068120814272,0.0
14,0.90201473103759122,0.0
16,0.89203401890078982,0.0
18,0.88283443121145111,0.0
20,0.87424106596311368,0.0
22,0.86470363418641683,0.0
24,0.85705786181622301,0.0
26,0.84917833374494667,0.0
28,0.84160150960456748,0.0
30,0.83116983538140465,0.0
32,0.82285484519388852,0.0
34,0.81392851805330491,0.0
36,0.80598066842136584,0.0
38,0.79674133554528659,0.0
40,0.7876279185016567,0.0
42,0.7786277384315502,0.0
44,0.76992764311861561,0.0
46,0.75987654388978099,0.0
48,0.75018955461480286,0.0
0,1.0,0.0
2,0.9761264412138061,0.0
4,0.95933330425660357,0.0
6,0.94688493881436031,0.0
8,0.93492937673117416,0.0
10,0.92436474209177644,0.0
12,0.91314712017205812,0.0
14,0.90457953399328606,0.0
16,0.89459133571001581,0.0
18,0.88471035889164096,0.0
20,0.87634839199251435,0.0
22,0.86868607344508408,0.0
24,0.85926332063185984,0.0
26,0.84975248333025388,0.0
28,0.84049382559076358,0.0
30,0.83225433310927688,0.0
32,0.82406334389422442,0.0
34,0.81555211570794361,0.0
36,0.8064555317688582,0.0
38,0.79715559539932668,0.0
40,0.78803114619127279,0.0
42,0.78114912649099266,0.0
44,0.77271687245050158,0.0
46,0.76126668460629388,0.0
48,0.74962647243313718,0.0
0,1.0,0.0
2,0.97619219251397193,0.0
4,0.96000762514002058,0.0
6,0.94622758689579201,0.0
8,0.93513788766578287,0.0
10,0.92536659689633138,0.0
12,0.91607656153224359,0.0
14,0.90607908788427571,0.0
16,0.89672151327220273,0.0
18,0.88765538852697401,0.0
20,0.878926457674443,0.0
22,0.869671632012605,0.0
24,0.86078848799621099,0.0
26,0.85351021550871087,0.0
28,0.8444942441454546,0.0
30,0.83642319799223175,0.0
32,0.82535015041404303,0.0
34,0.81669782729958318,0.0
36,0.80913597638800905,0.0
38,0.79956469342427372,0.0
40,0.7911969148368635,0.0
42,0.78229842493611057,0.0
44,0.77289828770039359,0.0
46,0.76522153186739483,0.0
48,0.75574333837302032,0.0
0,1.0,0.0
2,0.97713762220509104,0.0
4,0.95995945138733862,0.0
6,0.94608579299554052,0.0
8,0.93453717035948192,0.0
10,0.92361406822904923,0.0
12,0.91273516988019499,0.0
14,0.90273898446148415,0.0
16,0.89431761070894378,0.0
18,0.8850697567843584,0.0
20,0.87625269585107668,0.0
22,0.86789758557619678,0.0
24,0.85968459548134235,0.0
26,0.85092984244349668,0.0
28,0.84282717041562349,0.0
30,0.83617767813008659,0.0
32,0.82748736627267228,0.0
34,0.81838731677478771,0.0
36,0.81083367850889809,0.0
38,0.80114197669843668,0.0
40,0.79268215063622405,0.0
42,0.78558174219274324,0.0
44,0.77549654591118011,0.0
46,0.76582456089228612,0.0
48,0.75620413224783378,0.0
