removed_core,frac,error_100,error_20.0,error_10.0,std_10,std_2.0,std_1.0,core,count,degree,clustering,components
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,4,11,0.9090909090909091,0.0,6
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,5,5,0.4,0.0,4
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.7,0.00084006780140381192,0.0060864452934144518,0.074616453324427762,0.0,0.0,0.0,10,268,16.955223880597014,0.11332186615864372,1
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,1,1623,0.35489833641404805,0.0,1335
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,2,782,2.3452685421994883,0.011417610522469857,37
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,3,56,0.9285714285714286,0.04166666666666667,31
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,4,8,0.5,0.0,6
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,5,4,0.0,0.0,4
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.8,0.00073329209302321866,0.0038666120405126806,0.10071317429981523,0.0,0.0,0.0,10,268,16.955223880597014,0.1133218661586437,1
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,1,1452,0.6652892561983471,0.0,969
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,2,401,1.9900249376558603,0.005818786367414796,29
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,3,22,0.6363636363636364,0.0,15
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,4,13,0.9230769230769231,0.0,7
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,5,3,0.6666666666666666,0.0,2
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,6,13,0.46153846153846156,0.0,10
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,7,40,1.45,0.0,17
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,8,26,0.3076923076923077,0.0,22
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,9,104,0.5192307692307693,0.0,80
5,0.9,0.00053211193347946022,0.0031054315911720931,0.12986946768492388,0.0,0.0,0.0,10,268,16.955223880597014,0.1133218661586437,1
